source_site,city,district,title,listing_url,image_url,date_collected,price,room_count,listing_id,neighborhood,net_m2,gross_m2,building_age,listing_update_date,floor,total_floors,heating_type,usage_status,furnished_status,bathroom_count
Emlakjet,istanbul,sariyer,"Karma & Platin Team İstanbul Sarıyer Ferahevler Mahallesi 3+1 Oda Kiralık Daire 110,000 TL #19460451",https://www.emlakjet.com/ilan/kw-semih-i-ferahevler-akyap-sitesi-31-ara-kat-manzarali-daire-19460451,https://imaj.emlakjet.com/resize/480/360/listing/19460451/655658FF0D5C5546A3A4A4BBB26FEA6A19460451.jpg,2026-06-11 00:55:28,110000,3+1,19460451,,120,140,21 Ve Üzeri,09 Haziran 2026,3.Kat,5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Boş,1
Emlakjet,istanbul,sariyer,"Mahan Invest İstanbul Sarıyer Huzur Mahallesi 4+1 Oda Kiralık Daire 420,000 TL #19460300",https://www.emlakjet.com/ilan/skyland-istanbul-kiralik-full-esyali-41-penthouse-vadistanbul-19460300,https://imaj.emlakjet.com/resize/480/360/listing/19460300/10AF2EF18C2376C9E0D1565D8F30825919460300.jpg,2026-06-11 00:55:31,420000,4+1,19460300,,220,369,5-10,09 Haziran 2026,12.Kat,30,Merkezi (Pay Ölçer),,,5
Emlakjet,istanbul,sariyer,"Aylis Gayrimenkul İstanbul Sarıyer Kazım Karabekir Paşa Mahallesi 2+1 Oda Kiralık Daire 25,000 TL #19459899",https://www.emlakjet.com/ilan/kazim-karabekir-pasa-mahallesinde-genis-21-19459899,https://imaj.emlakjet.com/resize/480/360/listing/19459899/9BA59336348332DBCA4051622F9A0A4519459899.jpg,2026-06-11 00:55:33,25000,2+1,19459899,,75,80,21 Ve Üzeri,09 Haziran 2026,Yüksek Giriş,3,Kombi Doğalgaz,Boş Yapı Durumu İkinci El Yapı Tipi Betonarme,Boş Aidat 0 TL Depozito 25000 TL,1
Emlakjet,istanbul,sariyer,"Turyap Yeniköy İstanbul Sarıyer Ayazağa Mahallesi Stüdyo Oda Kiralık Daire 10,500 TL #19458963",https://www.emlakjet.com/ilan/ayazada-kiralik-studyo-daire-19458963,https://imaj.emlakjet.com/resize/480/360/listing/19458963/9B009216E6A831FAA44AEBD59117191B19458963.jpg,2026-06-11 00:55:36,10500,,19458963,,40,45,21 Ve Üzeri,09 Haziran 2026,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,sariyer,"Turyap Yeniköy İstanbul Sarıyer Yeniköy Mahallesi Stüdyo Oda Kiralık Daire 12,000 TL #19458962",https://www.emlakjet.com/ilan/yenikoy-baglarda-kiralik-studyo-daire-19458962,https://imaj.emlakjet.com/resize/480/360/listing/19458962/5CA3196D4FCE8BF24A2C0DC16F56B64D19458962.jpg,2026-06-11 00:55:39,12000,,19458962,,40,45,21 Ve Üzeri,09 Haziran 2026,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,sariyer,"Turyap Yeniköy İstanbul Sarıyer İstinye Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19458961",https://www.emlakjet.com/ilan/istinyede-ful-esyali-kiralik-21-daire-19458961,https://imaj.emlakjet.com/resize/480/360/listing/19458961/8339A887A7533D2FC6082395BFF78DDF19458961.jpg,2026-06-11 00:55:41,55000,2+1,19458961,,95,105,21 Ve Üzeri,09 Haziran 2026,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,sariyer,"Şayan Gayrimenkul İstanbul Sarıyer Kocataş Mahallesi 1+1 Oda Kiralık Daire 30,000 TL #19458546",https://www.emlakjet.com/ilan/sariyer-kocatas-ta-kiralik-30-000-19458546,https://imaj.emlakjet.com/resize/480/360/listing/19458546/89D6B7CB28CBDBF718762BF1BBAEC58C19458546.jpg,2026-06-11 00:55:44,30000,1+1,19458546,,75,80,5-10,09 Haziran 2026,Bahçe Katı,1,Kombi Doğalgaz,Boş Yapı Durumu İkinci El Yapı Tipi Betonarme,Boş Depozito 30000 TL,1
Emlakjet,istanbul,sariyer,"Remax Fly İstanbul Sarıyer Maden Mahallesi 2+1 Oda Kiralık Daire 57,000 TL #19456670",https://www.emlakjet.com/ilan/sariyer-maden-de-deniz-manzarali-genis-21-kiralik-daire-19456670,https://imaj.emlakjet.com/resize/480/360/listing/19456670/D187821F82B01B3B96DA1A18705838BA19456670.jpg,2026-06-11 00:55:46,57000,2+1,19456670,,120,150,21 Ve Üzeri,08 Haziran 2026,2.Kat,4,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,sariyer,"Safir Gayrimenkul İstanbul Sarıyer Ayazağa Mahallesi 1+1 Oda Kiralık Daire 45,000 TL #19456251",https://www.emlakjet.com/ilan/green-pine-residence-da-full-esyali-11-kiralik-daire-64m-19456251,https://imaj.emlakjet.com/resize/480/360/listing/19456251/5DF4562B836364C1FDD6FDFF2F0CF0EC19456251.jpg,2026-06-11 00:55:49,45000,1+1,19456251,,50,64,5-10,08 Haziran 2026,6.Kat,9,Kombi Doğalgaz,,,1
Emlakjet,istanbul,sariyer,"Aylis Gayrimenkul İstanbul Sarıyer Cumhuriyet Mahallesi 3+1 Oda Kiralık Daire 55,000 TL #19456125",https://www.emlakjet.com/ilan/tarabya-cumhuriyet-mahallesinde-genis-ferah-kullanimli-31-terasli-kiralik-daire-19456125,https://imaj.emlakjet.com/resize/480/360/listing/19456125/B4407AB8A9761FFD40A11218EBD0C7D619456125.jpg,2026-06-11 00:55:52,55000,3+1,19456125,,180,185,21 Ve Üzeri,08 Haziran 2026,2.Kat,4,Kombi Doğalgaz,Boş Yapı Durumu İkinci El Yapı Tipi Betonarme,Boş Depozito 55000 TL,1
Emlakjet,istanbul,sariyer,"Bosphorus Life Gayrimenkul İstanbul Sarıyer Reşitpaşa Mahallesi 3+1 Oda Kiralık Daire 185,000 TL #19455850",https://www.emlakjet.com/ilan/emirgan-degirmentepe-de-koruya-yurume-mesafesinde-31-kiralik-daire-19455850,https://imaj.emlakjet.com/resize/480/360/listing/19455850/1ACF4290EEC622F9A45985428B44738519455850.jpg,2026-06-11 00:55:55,185000,3+1,19455850,,160,185,5-10,08 Haziran 2026,3.Kat,4,Yerden Isıtma,,,2
Emlakjet,istanbul,sariyer,"Safir Gayrimenkul İstanbul Sarıyer Ayazağa Mahallesi 2+1 Oda Kiralık Daire 47,000 TL #19455787",https://www.emlakjet.com/ilan/green-pine-residence-full-esyali-havuz-cephe-1-kat-85-m-21-19455787,https://imaj.emlakjet.com/resize/480/360/listing/19455787/16FFBE05F89C6AE2E5E5C06F4197E19A19455787.jpg,2026-06-11 00:55:57,47000,2+1,19455787,,60,85,5-10,08 Haziran 2026,1.Kat,10,Kombi Doğalgaz,Kiracı Oturuyor,Eşyalı,1
Emlakjet,istanbul,sariyer,"Safir Gayrimenkul İstanbul Sarıyer Ayazağa Mahallesi 2+1 Oda Kiralık Daire 57,000 TL #19455037",https://www.emlakjet.com/ilan/green-pine-residence-full-esyali-100-m2-5-kat-luks-21-19455037,https://imaj.emlakjet.com/resize/480/360/listing/19455037/ECC0767A13DA1FEFAF288EB4CA18E7AC19455037.JPG,2026-06-11 00:56:00,57000,2+1,19455037,,76,100,5-10,08 Haziran 2026,5.Kat,10,Kombi Doğalgaz,,,1
Emlakjet,istanbul,sariyer,"Mahan Invest İstanbul Sarıyer Huzur Mahallesi 1+1 Oda Kiralık Daire 70,000 TL #19454061",https://www.emlakjet.com/ilan/nurol-life-hic-kullanilmamis-kiralik-genis-terasli-1-1-daire-19454061,https://imaj.emlakjet.com/resize/480/360/listing/19454061/C8A077389A37BBF2B491D9AFA1B94E7619454061.jpg,2026-06-11 00:56:03,70000,1+1,19454061,,65,104,5-10,08 Haziran 2026,11.Kat,30,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,sariyer,"Easy Gayrimenkul İstanbul Sarıyer Maslak Mahallesi 3+1 Oda Kiralık Daire 120,000 TL #19452387",https://www.emlakjet.com/ilan/maslak-1453-agaoglu-31-kopru-orman-manzarali-kose-temiz-hazir-19452387,https://imaj.emlakjet.com/resize/480/360/listing/19452387/188D1C7F7FCD13F1465F260DA537C0B219452387.jpg,2026-06-11 00:56:05,120000,3+1,19452387,,170,200,5-10,08 Haziran 2026,30.Kat,30,Merkezi (Pay Ölçer),,,2
Emlakjet,istanbul,sariyer,"Turyap Yeniköy İstanbul Sarıyer Yeniköy Mahallesi 2+1 Oda Kiralık Daire 35,000 TL #19451331",https://www.emlakjet.com/ilan/baglarda-yuksek-giris-temiz-tasinmaya-hazir-21-19451331,https://imaj.emlakjet.com/resize/480/360/listing/19451331/A4F7CD9C3A07BF0BB6A8696603DEC9ED19451331.jpg,2026-06-11 00:56:08,35000,2+1,19451331,,80,85,21 Ve Üzeri,07 Haziran 2026,Yüksek Giriş,2,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,sariyer,"Turyap Yeniköy İstanbul Sarıyer Yeniköy Mahallesi Stüdyo Oda Kiralık Daire 12,000 TL #19450973",https://www.emlakjet.com/ilan/yenikoy-baglarda-kiralik-studyo-daire-19450973,https://imaj.emlakjet.com/resize/480/360/listing/19450973/CDEC03EAA819D10C102C16A82CEE16FC19450973.jpg,2026-06-11 00:56:11,12000,,19450973,,38,40,21 Ve Üzeri,07 Haziran 2026,Yüksek Giriş,2,Isıtma Yok,,,1
Emlakjet,istanbul,sariyer,"Re/max 7 Tepe İstanbul Sarıyer Maslak Mahallesi 1+1 Oda Kiralık Daire 80,000 TL #19450773",https://www.emlakjet.com/ilan/maslak-ta-onu-orman-t-bloklarda-acil-kiralik-esyali-bos-daire-19450773,https://imaj.emlakjet.com/resize/480/360/listing/19450773/FA9752189B7AD68FEF700292B41516BB19450773.jpg,2026-06-11 00:56:14,80000,1+1,19450773,,60,87,5-10,07 Haziran 2026,4.Kat,10,Merkezi (Pay Ölçer),Boş,Eşyalı,1
Emlakjet,istanbul,sariyer,"Mahan Invest İstanbul Sarıyer Huzur Mahallesi 4+1 Oda Kiralık Daire 140,000 TL #19458425",https://www.emlakjet.com/ilan/avangart-istanbul-kiralik-41-daire-vadistabul-19458425,https://imaj.emlakjet.com/resize/480/360/listing/19458425/1DAB9874D422F132F47B2DE4BCF3E6FA19458425.jpg,2026-06-11 00:56:17,140000,4+1,19458425,,165,225,21 Ve Üzeri,09 Haziran 2026,4.Kat,12,Merkezi (Pay Ölçer),,,2
Emlakjet,istanbul,sariyer,"Mahan Invest İstanbul Sarıyer Ayazağa Mahallesi 1+1 Oda Kiralık Daire 80,000 TL #19458378",https://www.emlakjet.com/ilan/vadistanbul-park-kiralik-11-daire-vadistanbul-19458378,https://imaj.emlakjet.com/resize/480/360/listing/19458378/E065BCC9584F2CF363507281394AC15C19458378.jpg,2026-06-11 00:56:20,80000,1+1,19458378,,55,81,5-10,09 Haziran 2026,2.Kat,15,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,sariyer,"Easy Gayrimenkul İstanbul Sarıyer Maslak Mahallesi 3+1 Oda Kiralık Daire 120,000 TL #19457477",https://www.emlakjet.com/ilan/maslak-1453-agaoglu-31-kopru-orman-manzarali-kose-temiz-hazir-19457477,https://imaj.emlakjet.com/resize/480/360/listing/19457477/17DCFB41EA3A83165C445525570B40E619457477.jpg,2026-06-11 00:56:23,120000,3+1,19457477,,170,200,5-10,09 Haziran 2026,21.Kat,40,Merkezi (Pay Ölçer),,,2
Emlakjet,istanbul,sariyer,"Easy Gayrimenkul İstanbul Sarıyer Maslak Mahallesi 2+1 Oda Kiralık Daire 85,000 TL #19457461",https://www.emlakjet.com/ilan/eclipse-residence-21-doga-manzarali-bos-daire-19457461,https://imaj.emlakjet.com/resize/480/360/listing/19457461/BD315A39856BFCF73CF213655887164F19457461.jpg,2026-06-11 00:56:26,85000,2+1,19457461,,100,120,5-10,09 Haziran 2026,10.Kat,25,Merkezi (Pay Ölçer),,,2
Emlakjet,istanbul,sariyer,"M2 Metrekare Gayrimenkul İstanbul Sarıyer Ayazağa Mahallesi 4+1 Oda Kiralık Daire 225,000 TL #19456496",https://www.emlakjet.com/ilan/vadistanbul-teras-41-bos-kiralik-daire-orman-ve-avm-cephe-19456496,https://imaj.emlakjet.com/resize/480/360/listing/19456496/BA43EFC0714D8922987DA66574C2697D19456496.jpg,2026-06-11 00:56:29,225000,4+1,19456496,,160,212,5-10,08 Haziran 2026,11.Kat,20,Yerden Isıtma,Boş,Boş,3
Emlakjet,istanbul,sariyer,"Easy Gayrimenkul İstanbul Sarıyer Maslak Mahallesi 3+1 Oda Kiralık Daire 90,000 TL #19450666",https://www.emlakjet.com/ilan/maslak-agaoglu-my-home-da-yuksek-katta-tasinmaya-hazir-31-yetkili-portfoy-19450666,https://imaj.emlakjet.com/resize/480/360/listing/19450666/DEF433FAD7864AC45DDFD89483672F5419450666.jpg,2026-06-11 00:56:32,90000,3+1,19450666,,100,128,11-15,07 Haziran 2026,2.Kat,30,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,sariyer,"Remax Fly İstanbul Sarıyer Yeniköy Mahallesi 1+1 Oda Kiralık Daire 38,000 TL #19449775",https://www.emlakjet.com/ilan/yenikoy-de-11-kiralik-daire-19449775,https://imaj.emlakjet.com/resize/480/360/listing/19449775/8FFEDCF1FC1ABC6645D9154EADEF2A5F19449775.jpg,2026-06-11 00:56:35,38000,1+1,19449775,,48,50,21 Ve Üzeri,06 Haziran 2026,Bahçe Katı,4,Kombi Doğalgaz,Boş,Boş,1
