source_site,city,district,title,listing_url,date_collected,price,room_count,listing_id,neighborhood,net_m2,gross_m2,building_age,listing_update_date,floor,total_floors,heating_type,usage_status,furnished_status,bathroom_count
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 1+1 Oda Kiralık Daire 40,000 TL #19437304",https://www.emlakjet.com/ilan/fikirtepe-emlak-konut-16-etap-ara-kat-11-kiralik-daire-19437304,2026-06-07 23:06:47,40000,1+1,19437304,Dumlupınar,42,52,0 (Yeni),04 Haziran 2026,6.Kat,22,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Restate Partner İstanbul Kadıköy Suadiye Mahallesi 2+1 Oda Kiralık Daire 85,000 TL #19437111",https://www.emlakjet.com/ilan/kadikoy-suadiye-kiralik-21-daire-19437111,2026-06-07 23:06:50,85000,2+1,19437111,Suadiye,90,110,5-10,04 Haziran 2026,7.Kat,14,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,kadikoy,"Remax Eksen İstanbul Kadıköy Erenköy Mahallesi 3+1 Oda Kiralık Daire 72,500 TL #19450771",https://www.emlakjet.com/ilan/erenkoyde-uc-cepheli-otoparkli-kiralik-31-daire-19450771,2026-06-07 23:06:53,72500,3+1,19450771,Erenköy,110,130,21 Ve Üzeri,07 Haziran 2026,9.Kat,11,Merkezi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Remax Eksen İstanbul Kadıköy Acıbadem Mahallesi 3+1 Oda Kiralık Daire 47,500 TL #19450767",https://www.emlakjet.com/ilan/acibadem-metro-ya-cok-yakin-yuksek-giris-31-kiralik-19450767,2026-06-07 23:06:57,47500,3+1,19450767,Acıbadem,85,110,21 Ve Üzeri,07 Haziran 2026,Yüksek Giriş,4,Merkezi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Adress Gayrimenkul İstanbul Kadıköy Osmanağa Mahallesi 2+1 Oda Kiralık Daire 85,000 TL #19446684",https://www.emlakjet.com/ilan/kadikoy-merkezde-sanatcilar-sokaginda-masrafsiz-esyali-21-daire-19446684,2026-06-07 23:07:00,85000,2+1,19446684,Osmanağa,70,80,21 Ve Üzeri,06 Haziran 2026,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,kadikoy,"Century21 Perfect İstanbul Kadıköy Feneryolu Mahallesi 2+1 Oda Kiralık Daire 85,000 TL #19437083",https://www.emlakjet.com/ilan/feneryolu-marmaray-a-yakin-otoparkli-21-kiralik-daire-19437083,2026-06-07 23:07:03,85000,2+1,19437083,Feneryolu,69,85,5-10,04 Haziran 2026,7.Kat,14,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Ori̇ent Gayri̇menkul İstanbul Kadıköy Dumlupınar Mahallesi 1+1 Oda Kiralık Daire 44,000 TL #19436783",https://www.emlakjet.com/ilan/yeni-fikirtepe-emlak-konut-5-etap-11-7-kat-40m-net-19436783,2026-06-07 23:07:06,44000,1+1,19436783,Dumlupınar,40,60,0 (Yeni),04 Haziran 2026,7.Kat,19,Yerden Isıtma,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Turyap Feneryolu Temsi̇lci̇li̇ği̇ İstanbul Kadıköy Feneryolu Mahallesi 3+1 Oda Kiralık Daire 92,000 TL #19436145",https://www.emlakjet.com/ilan/turyaptan-kadikoy-feneryolunda-sifir-binada-kiralik-31-daire-19436145,2026-06-07 23:07:10,92000,3+1,19436145,Feneryolu,80,100,0 (Yeni),03 Haziran 2026,5.Kat,8,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Remax Goal İstanbul Kadıköy Zühtüpaşa Mahallesi 2+1 Oda Kiralık Daire 52,000 TL #19434885",https://www.emlakjet.com/ilan/fenerbahce-tesislerinin-karsisinda-full-esyali-ve-terasli-daire-19434885,2026-06-07 23:07:13,52000,2+1,19434885,Zühtüpaşa,50,65,21 Ve Üzeri,03 Haziran 2026,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,kadikoy,"Alkaya Gayrimenkul Suadiye İstanbul Kadıköy Suadiye Mahallesi 3+1 Oda Kiralık Daire 83,000 TL #19433976",https://www.emlakjet.com/ilan/alkaya-dan-suadiye-de-kiralik-31-balkonlu-daire-on-cephe-19433976,2026-06-07 23:07:17,83000,3+1,19433976,Suadiye,78,95,5-10,03 Haziran 2026,1.Kat,6,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Sembol Gayri̇menkul İstanbul Kadıköy Göztepe Mahallesi 3+1 Oda Kiralık Daire 110,000 TL #19433597",https://www.emlakjet.com/ilan/selamicesme-kapanmaz-ozgurluk-parki-manzarali-31-105m2-net-31-kiralik-daire-19433597,2026-06-07 23:07:20,110000,3+1,19433597,Göztepe,105,140,5-10,03 Haziran 2026,5.Kat,9,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor Yapı Durumu İkinci El,Boş Depozito 220000 TL,2
Emlakjet,istanbul,kadikoy,"Feneryolu Emlak İstanbul Kadıköy Eğitim Mahallesi 3+1 Oda Kiralık Daire 65,000 TL #19429895",https://www.emlakjet.com/ilan/az-katli-genc-binada-siding-kaplamali-minibus-yoluna-cok-yakin-19429895,2026-06-07 23:07:24,65000,3+1,19429895,Eğitim,120,140,16-20,03 Haziran 2026,4.Kat,4,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Turyap Göztepe İstanbul Kadıköy Merdivenköy Mahallesi 3+1 Oda Kiralık Daire 70,000 TL #19428466",https://www.emlakjet.com/ilan/turyap-goztepe-den-sair-arsi-de-31-kiralik-daire-19428466,2026-06-07 23:07:28,70000,3+1,19428466,Merdivenköy,95,130,21 Ve Üzeri,02 Haziran 2026,2.Kat,5,Merkezi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Utku Emlak Gayri̇menkul İstanbul Kadıköy Suadiye Mahallesi 4+1 Oda Kiralık Daire 130,000 TL #19426471",https://www.emlakjet.com/ilan/saskin-bakkalda-sahile-yurume-mesafesinde-guvenlikli-60m2-salon-19426471,2026-06-07 23:07:32,130000,4+1,19426471,Suadiye,170,220,21 Ve Üzeri,03 Haziran 2026,10.Kat,12,Kombi Doğalgaz,,,2
Emlakjet,istanbul,kadikoy,"Coldwell Banker Real İstanbul Kadıköy Acıbadem Mahallesi 2+1 Oda Kiralık Daire 67,500 TL #19426435",https://www.emlakjet.com/ilan/acibadem-sakinler-de-yeni-bina-da-kiralik-21-19426435,2026-06-07 23:07:35,67500,2+1,19426435,Acıbadem,60,70,2,01 Haziran 2026,1.Kat,4,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Hakan Ercan Pusula Gayri̇menkul İstanbul Kadıköy Fenerbahçe Mahallesi 3+1 Oda Kiralık Daire 150,000 TL #19426124",https://www.emlakjet.com/ilan/kalamis-ta-sahile-50mt-12-yasinda-akilli-binada-emsalsiz-31-19426124,2026-06-07 23:07:38,150000,3+1,19426124,Fenerbahçe,110,130,11-15,06 Haziran 2026,2.Kat,9,Yerden Isıtma,,,2
Emlakjet,istanbul,uskudar,"Remax Ani İstanbul Üsküdar Kuleli Mahallesi 2+1 Oda Kiralık Daire 20,000 TL #19450627",https://www.emlakjet.com/ilan/cengelkoy-kuleli-de-esyali-kiralik-21-daire-19450627,2026-06-07 23:07:44,20000,2+1,19450627,Kuleli,75,90,21 Ve Üzeri,07 Haziran 2026,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,uskudar,"Deluxe 26 Gayri̇menkul İstanbul Üsküdar Ahmediye Mahallesi 2+1 Oda Kiralık Daire 38,000 TL #19449143",https://www.emlakjet.com/ilan/deluxe-26-dan-nezih-muhitte-ici-yapili-bahceli-21-85-m2-firsat-19449143,2026-06-07 23:07:47,38000,2+1,19449143,Ahmediye,80,85,21 Ve Üzeri,06 Haziran 2026,Bahçe Katı,4,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Boş,1
Emlakjet,istanbul,uskudar,"Remax Pi̇rami̇t İstanbul Üsküdar Sultantepe Mahallesi 2+1 Oda Kiralık Daire 26,000 TL #19447350",https://www.emlakjet.com/ilan/uskudarda-kiralik-21-metro-marmaraya-yurume-mesafesinde-19447350,2026-06-07 23:07:50,26000,2+1,19447350,Sultantepe,48,60,21 Ve Üzeri,06 Haziran 2026,Yüksek Giriş,4,Kombi Doğalgaz,Boş,Boş,1
