source_site,city,district,title,listing_url,image_url,date_collected,price,room_count,listing_id,neighborhood,net_m2,gross_m2,building_age,listing_update_date,floor,total_floors,heating_type,usage_status,furnished_status,bathroom_count
Emlakjet,istanbul,kadikoy,"Mega Emlak İstanbul Kadıköy Suadiye Mahallesi 3+2 Oda Kiralık Daire 185,000 TL #19112208",https://www.emlakjet.com/ilan/suadiye-sahilde-terasli-dubleks-daire-19112208,https://imaj.emlakjet.com/resize/480/360/listing/19112208/CB0D9E47899A1493F1C3D409D9A0B70219112208.jpg,2026-06-08 19:17:25,185000,3+2,19112208,Suadiye,180,220,5-10,09 Mayıs 2026,8.Kat,8,Kombi Doğalgaz,Kiracı Oturuyor Yapı Durumu İkinci El,Boş,3
Emlakjet,istanbul,kadikoy,"Promes Gayri̇menkul Ve Danişmanlik Aş İstanbul Kadıköy Erenköy Mahallesi 3+1 Oda Kiralık Daire 105,000 TL #19455001",https://www.emlakjet.com/ilan/erenkoy-minibus-caddesi-uzerinde-yeni-binada-ferah-full-esyali-19455001,https://imaj.emlakjet.com/resize/480/360/listing/19455001/C576D203FC26288CB8F64B3FB488603A19455001.jpg,2026-06-08 19:17:27,105000,3+1,19455001,Erenköy,110,115,5-10,08 Haziran 2026,2.Kat,10,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 3+1 Oda Kiralık Daire 75,000 TL #19453530",https://www.emlakjet.com/ilan/15-etapta-yuksek-kat-millet-bahcesi-manzarali-kiralik-31-daire-19453530,https://imaj.emlakjet.com/resize/480/360/listing/19453530/B6BFC2FDE1482BE77327A13E5964A69619453530.jpg,2026-06-08 19:17:29,75000,3+1,19453530,Dumlupınar,96,120,0 (Yeni),08 Haziran 2026,17.Kat,23,Merkezi (Pay Ölçer),Boş,Boş,2
Emlakjet,istanbul,kadikoy,"Ji̇r Gayri̇menkul Emlak Danişmanliği İstanbul Kadıköy Merdivenköy Mahallesi 2+1 Oda Kiralık Daire 50,000 TL #19453155",https://www.emlakjet.com/ilan/goztepe-de-hastaneye-ve-metroya-yakin-genis-balkonlu-ferah-21-19453155,https://imaj.emlakjet.com/resize/480/360/listing/19453155/F66A4A574B3737E820B2D0CF18706DDC19453155.jpg,2026-06-08 19:17:32,50000,2+1,19453155,Merdivenköy,85,110,21 Ve Üzeri,08 Haziran 2026,Yüksek Giriş,4,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Remax Goal İstanbul Kadıköy Caferağa Mahallesi 1+1 Oda Kiralık Daire 60,000 TL #19452118",https://www.emlakjet.com/ilan/kadikoy-moda-da-sifir-11-kiralik-daire-45m-19452118,https://imaj.emlakjet.com/resize/480/360/listing/19452118/B36F358B3B858AA633748E17B397FD0419452118.jpg,2026-06-08 19:17:35,60000,1+1,19452118,Caferağa,45,55,0 (Yeni),07 Haziran 2026,3.Kat,5,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 1+1 Oda Kiralık Daire 42,000 TL #19451978",https://www.emlakjet.com/ilan/emlak-konut-16-etap-11-19451978,https://imaj.emlakjet.com/resize/480/360/listing/19451978/D037652562A815E584803764E8720EC819451978.jpg,2026-06-08 19:17:37,42000,1+1,19451978,Dumlupınar,42,52,1,08 Haziran 2026,15.Kat,23,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19451947",https://www.emlakjet.com/ilan/fikirtepe-emlak-konutta-16-etap-21-19451947,https://imaj.emlakjet.com/resize/480/360/listing/19451947/CDF3F073642381DC93A9CF4F382EC2B319451947.jpeg,2026-06-08 19:17:40,55000,2+1,19451947,Dumlupınar,65,72,0 (Yeni),07 Haziran 2026,9.Kat,23,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,kadikoy,"Nova Cadde Emlak İstanbul Kadıköy Bostancı Mahallesi 2+1 Oda Kiralık Daire 76,500 TL #19451624",https://www.emlakjet.com/ilan/bostanci-yeni-binada-genis-mutfak-balkonlu-21-kiralik-daire-19451624,https://imaj.emlakjet.com/resize/480/360/listing/19451624/9F0492A646B100B0A9B287DC40245F1619451624.jpg,2026-06-08 19:17:43,76500,2+1,19451624,Bostancı,75,100,0 (Yeni),07 Haziran 2026,1.Kat,11,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Mnc Gayrimenkul İstanbul Kadıköy Feneryolu Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19451027",https://www.emlakjet.com/ilan/feneryolu-nda-yeni-binada-park-yakini-21-kiralik-daire-19451027,https://imaj.emlakjet.com/resize/480/360/listing/19451027/6150C91509EE32AEAC9C01FAD45621F019451027.jpg,2026-06-08 19:17:46,55000,2+1,19451027,Feneryolu,48,58,0 (Yeni),08 Haziran 2026,Düz Giriş (Zemin),11,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Erciyes Emlak İstanbul Kadıköy Kozyatağı Mahallesi 2+1 Oda Kiralık Daire 48,000 TL #19449292",https://www.emlakjet.com/ilan/erciyes-den-kozyatagi-belediye-bloklarinda-21-masrafsiz-kiralik-19449292,https://imaj.emlakjet.com/resize/480/360/listing/19449292/B6A325608300FE6BA1CCBF9C4846B42019449292.jpg,2026-06-08 19:17:49,48000,2+1,19449292,Kozyatağı,80,100,21 Ve Üzeri,06 Haziran 2026,2.Kat,7,Merkezi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Ekotaş Emlak Gayrimenkul İstanbul Kadıköy 19 Mayıs Mahallesi 3+1 Oda Kiralık Daire 87,000 TL #19448663",https://www.emlakjet.com/ilan/kaptan-arif-te-150m-net-31-kiralik-daire-19448663,https://imaj.emlakjet.com/resize/480/360/listing/19448663/8145406D5FBD2FC227EFC287AA53733C19448663.jpg,2026-06-08 19:17:51,87000,3+1,19448663,19 Mayıs,150,165,21 Ve Üzeri,06 Haziran 2026,6.Kat,7,Merkezi Doğalgaz,Boş,Boş,2
Emlakjet,istanbul,kadikoy,"Gri Gayrimenkul İstanbul Kadıköy Erenköy Mahallesi 3+1 Oda Kiralık Daire 115,000 TL #19448031",https://www.emlakjet.com/ilan/erenkoy-divan-yani-bagdat-caddesi-yakininda-luks-31-kiralik-19448031,https://imaj.emlakjet.com/resize/480/360/listing/19448031/03A629F4D37659942B875712264EC2AD19448031.jpg,2026-06-08 19:17:54,115000,3+1,19448031,Erenköy,95,120,21 Ve Üzeri,06 Haziran 2026,9.Kat,9,Kombi Doğalgaz,,,2
Emlakjet,istanbul,kadikoy,"Sahibinden İstanbul Kadıköy Bostancı Mahallesi 2+1 Oda Kiralık Daire 110,000 TL #19446694",https://www.emlakjet.com/ilan/sadece-is-yerine-aracisiz-sahibinden-1-ci-kat-sifir-bina-19446694,https://imaj.emlakjet.com/resize/480/360/listing/19446694/3DF622DC470271B4779B9B9C1DF60C5A19446694.jpeg,2026-06-08 19:17:58,110000,2+1,19446694,Bostancı,80,90,0 (Yeni),06 Haziran 2026,Kot 1 (-1).Kat,3,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Akti̇f Team İstanbul Kadıköy Acıbadem Mahallesi 2+1 Oda Kiralık Daire 50,000 TL #19445443",https://www.emlakjet.com/ilan/acibadem-de-merkezi-konumda-genis-ve-kullanisli-21-kiralik-daire-19445443,https://imaj.emlakjet.com/resize/480/360/listing/19445443/86C11968FD3789C7F65B488447106DAE19445443.jpeg,2026-06-08 19:18:00,50000,2+1,19445443,Acıbadem,100,115,21 Ve Üzeri,05 Haziran 2026,Kot 3 (-3).Kat,4,Merkezi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Feneryolu Emlak İstanbul Kadıköy Eğitim Mahallesi 3+1 Oda Kiralık Daire 70,000 TL #19441320",https://www.emlakjet.com/ilan/az-katli-genc-binada-siding-kaplamali-minibus-yoluna-cok-yakin-19441320,https://imaj.emlakjet.com/resize/480/360/listing/19441320/8666B638367C178D0CFE087F05E4B0F019441320.jpg,2026-06-08 19:18:03,70000,3+1,19441320,Eğitim,120,140,16-20,06 Haziran 2026,4.Kat,4,Kombi Doğalgaz,Kiracı Oturuyor,Boş,1
Emlakjet,istanbul,kadikoy,"Turyap Feneryolu Temsi̇lci̇li̇ği̇ İstanbul Kadıköy Merdivenköy Mahallesi 3+1 Oda Kiralık Daire 50,000 TL #19441178",https://www.emlakjet.com/ilan/kadikoy-goztepe-merdivenkoyde-6-ayligina-kiralik-31-daire-19441178,https://imaj.emlakjet.com/resize/480/360/listing/19441178/A1DBC6C1B452C6BC503A185B2A091E7E19441178.jpg,2026-06-08 19:18:05,50000,3+1,19441178,Merdivenköy,100,130,21 Ve Üzeri,04 Haziran 2026,3.Kat,6,Merkezi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Remax Eksen İstanbul Kadıköy Erenköy Mahallesi 3+1 Oda Kiralık Daire 72,500 TL #19450771",https://www.emlakjet.com/ilan/erenkoyde-uc-cepheli-otoparkli-kiralik-31-daire-19450771,https://imaj.emlakjet.com/resize/480/360/listing/19450771/D1697DAC3896CBA7B62AD95C13B934BF19450771.jpg,2026-06-08 19:18:08,72500,3+1,19450771,Erenköy,110,130,21 Ve Üzeri,07 Haziran 2026,9.Kat,11,Merkezi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Remax Eksen İstanbul Kadıköy Acıbadem Mahallesi 3+1 Oda Kiralık Daire 47,500 TL #19450767",https://www.emlakjet.com/ilan/acibadem-metro-ya-cok-yakin-yuksek-giris-31-kiralik-19450767,https://imaj.emlakjet.com/resize/480/360/listing/19450767/6A644E06BD79414B6D4574B82E83C86519450767.jpg,2026-06-08 19:18:12,47500,3+1,19450767,Acıbadem,85,110,21 Ve Üzeri,07 Haziran 2026,Yüksek Giriş,4,Merkezi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Adress Gayrimenkul İstanbul Kadıköy Osmanağa Mahallesi 2+1 Oda Kiralık Daire 85,000 TL #19446684",https://www.emlakjet.com/ilan/kadikoy-merkezde-sanatcilar-sokaginda-masrafsiz-esyali-21-daire-19446684,https://imaj.emlakjet.com/resize/480/360/listing/19446684/62A693A97C2193E69721152743227EAB19446684.jpg,2026-06-08 19:18:14,85000,2+1,19446684,Osmanağa,70,80,21 Ve Üzeri,06 Haziran 2026,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19437306",https://www.emlakjet.com/ilan/fikirtepe-emlak-konut-16-etap-a2-blokta-21-kiralik-daire-19437306,https://imaj.emlakjet.com/resize/480/360/listing/19437306/8E28447E943DEB18EFEFBC73F21E5DBC19437306.jpg,2026-06-08 19:18:17,55000,2+1,19437306,Dumlupınar,65,75,0 (Yeni),04 Haziran 2026,9.Kat,22,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 1+1 Oda Kiralık Daire 40,000 TL #19437304",https://www.emlakjet.com/ilan/fikirtepe-emlak-konut-16-etap-ara-kat-11-kiralik-daire-19437304,https://imaj.emlakjet.com/resize/480/360/listing/19437304/48950DA2906CA7FC4A7786294C54BEE919437304.jpg,2026-06-08 19:18:19,40000,1+1,19437304,Dumlupınar,42,52,0 (Yeni),04 Haziran 2026,6.Kat,22,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Restate Partner İstanbul Kadıköy Suadiye Mahallesi 2+1 Oda Kiralık Daire 85,000 TL #19437111",https://www.emlakjet.com/ilan/kadikoy-suadiye-kiralik-21-daire-19437111,https://imaj.emlakjet.com/resize/480/360/listing/19437111/84A1697EA2D9CCDECE29E46C5AFCA44D19437111.jpg,2026-06-08 19:18:21,85000,2+1,19437111,Suadiye,90,110,5-10,04 Haziran 2026,7.Kat,14,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,kadikoy,"Century21 Perfect İstanbul Kadıköy Feneryolu Mahallesi 2+1 Oda Kiralık Daire 85,000 TL #19437083",https://www.emlakjet.com/ilan/feneryolu-marmaray-a-yakin-otoparkli-21-kiralik-daire-19437083,https://imaj.emlakjet.com/resize/480/360/listing/19437083/D32FA812B2A4CF8A8A4763C6E69BAB2619437083.jpg,2026-06-08 19:18:24,85000,2+1,19437083,Feneryolu,69,85,5-10,04 Haziran 2026,7.Kat,14,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Ori̇ent Gayri̇menkul İstanbul Kadıköy Dumlupınar Mahallesi 1+1 Oda Kiralık Daire 44,000 TL #19436783",https://www.emlakjet.com/ilan/yeni-fikirtepe-emlak-konut-5-etap-11-7-kat-40m-net-19436783,https://imaj.emlakjet.com/resize/480/360/listing/19436783/2B78CA080E53412FE25C00A62E1714E119436783.jpg,2026-06-08 19:18:26,44000,1+1,19436783,Dumlupınar,40,60,0 (Yeni),04 Haziran 2026,7.Kat,19,Yerden Isıtma,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Turyap Feneryolu Temsi̇lci̇li̇ği̇ İstanbul Kadıköy Feneryolu Mahallesi 3+1 Oda Kiralık Daire 92,000 TL #19436145",https://www.emlakjet.com/ilan/turyaptan-kadikoy-feneryolunda-sifir-binada-kiralik-31-daire-19436145,https://imaj.emlakjet.com/resize/480/360/listing/19436145/A1DBC6C1B452C6BC503A185B2A091E7E19436145.jpg,2026-06-08 19:18:29,92000,3+1,19436145,Feneryolu,80,100,0 (Yeni),03 Haziran 2026,5.Kat,8,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Remax Goal İstanbul Kadıköy Zühtüpaşa Mahallesi 2+1 Oda Kiralık Daire 52,000 TL #19434885",https://www.emlakjet.com/ilan/fenerbahce-tesislerinin-karsisinda-full-esyali-ve-terasli-daire-19434885,https://imaj.emlakjet.com/resize/480/360/listing/19434885/47701A7190257BE47335BB5A5664983419434885.jpg,2026-06-08 19:18:31,52000,2+1,19434885,Zühtüpaşa,50,65,21 Ve Üzeri,03 Haziran 2026,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,kadikoy,"Alkaya Gayrimenkul Suadiye İstanbul Kadıköy Suadiye Mahallesi 3+1 Oda Kiralık Daire 83,000 TL #19433976",https://www.emlakjet.com/ilan/alkaya-dan-suadiye-de-kiralik-31-balkonlu-daire-on-cephe-19433976,https://imaj.emlakjet.com/resize/480/360/listing/19433976/0A2E3DDD1360027F812C70985C0715C419433976.jpg,2026-06-08 19:18:34,83000,3+1,19433976,Suadiye,78,95,5-10,03 Haziran 2026,1.Kat,6,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Sembol Gayri̇menkul İstanbul Kadıköy Göztepe Mahallesi 3+1 Oda Kiralık Daire 110,000 TL #19433597",https://www.emlakjet.com/ilan/selamicesme-kapanmaz-ozgurluk-parki-manzarali-31-105m2-net-31-kiralik-daire-19433597,https://imaj.emlakjet.com/resize/480/360/listing/19433597/F21006251AC9B8AACE3CB40EB2B3185B19433597.jpg,2026-06-08 19:18:36,110000,3+1,19433597,Göztepe,105,140,5-10,03 Haziran 2026,5.Kat,9,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor Yapı Durumu İkinci El,Boş Depozito 220000 TL,2
Emlakjet,istanbul,kadikoy,"Feneryolu Emlak İstanbul Kadıköy Eğitim Mahallesi 3+1 Oda Kiralık Daire 65,000 TL #19429895",https://www.emlakjet.com/ilan/az-katli-genc-binada-siding-kaplamali-minibus-yoluna-cok-yakin-19429895,https://imaj.emlakjet.com/resize/480/360/listing/19429895/F68E17E7BB4402C520860CA90CD8892D19429895.jpg,2026-06-08 19:18:39,65000,3+1,19429895,Eğitim,120,140,16-20,03 Haziran 2026,4.Kat,4,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Turyap Göztepe İstanbul Kadıköy Merdivenköy Mahallesi 3+1 Oda Kiralık Daire 70,000 TL #19428466",https://www.emlakjet.com/ilan/turyap-goztepe-den-sair-arsi-de-31-kiralik-daire-19428466,https://imaj.emlakjet.com/resize/480/360/listing/19428466/A1DBC6C1B452C6BC503A185B2A091E7E19428466.jpg,2026-06-08 19:18:41,70000,3+1,19428466,Merdivenköy,95,130,21 Ve Üzeri,02 Haziran 2026,2.Kat,5,Merkezi Doğalgaz,,,1
